Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,month,year,total_engagement,engagement_per_1k_views,engagement_per_1k_followers,Engagement_Rate_winsorized,Views_winsorized,Likes_winsorized,total_engagement_winsorized,is_sports_fitness_health,influencer_tier_norm
POST_02171,2024-01-01 05:05:00,LinkedIn,Document,Health,1711,27,247,24538,139,312647,0.63,5,Monday,9,627,Negative,Macro,False,True,1,2024,2124,86.55962181106855,6.79360428854267,0.63,24538.0,1711.0,2124.0,True,macro
POST_01548,2024-01-01 10:58:00,Facebook,Video,Sports,535,178,433,68246,740,428935,0.27,10,Monday,17,554,Neutral,Macro,True,False,1,2024,1886,27.635319286112008,4.396936598785364,0.27,68246.0,535.0,1886.0,True,macro
POST_01350,2024-01-01 13:12:00,Instagram,Photo,Fitness,9706,35,118,25782,611,64384,15.31,13,Monday,5,1136,Positive,Mid-tier,True,False,1,2024,10470,406.0972771701187,162.61804174950296,15.31,25782.0,9706.0,10470.0,True,mid-tier
POST_01582,2024-01-02 01:24:00,Twitter,Poll,Sports,3767,83,522,59434,242,421886,1.04,1,Tuesday,19,1611,Negative,Macro,True,False,1,2024,4614,77.63233166201164,10.93660372707319,1.04,59434.0,3767.0,4614.0,True,macro
POST_01803,2024-01-03 00:42:00,Twitter,Poll,Sports,4926,205,1317,28491,466,148659,4.34,0,Wednesday,7,1597,Neutral,Macro,True,False,1,2024,6914,242.67312484644273,46.509124910028994,4.34,28491.0,4926.0,6914.0,True,macro
POST_00426,2024-01-03 09:46:00,Facebook,Video,Sports,5540,375,632,73879,402,487579,1.34,9,Wednesday,15,353,Neutral,Macro,True,False,1,2024,6949,94.05920491614667,14.252049411479987,1.34,73879.0,5540.0,6949.0,True,macro
POST_00159,2024-01-04 10:49:00,Instagram,Story,Fitness,4399,125,33,21640,787,430456,1.06,10,Thursday,26,1064,Neutral,Macro,True,False,1,2024,5344,246.95009242144178,12.414741576374821,1.06,21640.0,4399.0,5344.0,True,macro
POST_02919,2024-01-04 12:44:00,Twitter,Thread,Fitness,2837,260,1505,47775,332,120825,3.81,12,Thursday,21,880,Neutral,Macro,True,True,1,2024,4934,103.27577184720042,40.83591971860128,3.81,47775.0,2837.0,4934.0,True,macro
POST_01750,2024-01-05 14:17:00,Instagram,Carousel,Fitness,1687,73,134,41648,732,117460,1.61,14,Friday,11,1798,Positive,Macro,True,False,1,2024,2626,63.05224740683826,22.356546909586243,1.61,41648.0,1687.0,2626.0,True,macro
POST_00013,2024-01-07 05:44:00,TikTok,Video,Fitness,37311,858,4513,439758,2823,458682,9.31,5,Sunday,22,598,Positive,Macro,True,False,1,2024,45505,103.4773670973581,99.20816600607829,9.31,439758.0,37311.0,45505.0,True,macro
POST_02620,2024-01-07 07:56:00,Twitter,Retweet,Fitness,4492,244,997,24696,383,135479,4.23,7,Sunday,1,311,Negative,Macro,True,True,1,2024,6116,247.65144152899254,45.14352777921302,4.23,24696.0,4492.0,6116.0,True,macro
POST_00255,2024-01-07 11:19:00,Instagram,Carousel,Health,9902,174,48,760,226,373732,2.71,11,Sunday,21,188,Negative,Macro,True,True,1,2024,10350,13618.421052631578,27.693641432898442,2.71,760.0,9902.0,10350.0,True,macro
