Platform,Influencer_Tier,posts,avg_er_pct,median_views
TikTok,Micro,19,81.75,215087
TikTok,Mid-tier,10,57.54,260042
Instagram,Micro,25,24.42,24990
Facebook,Micro,19,19.12,36654
Twitter,Micro,26,15.0,52569
TikTok,Macro,155,10.72,254750
Facebook,Mid-tier,24,7.73,46572
Instagram,Mid-tier,34,7.09,25932
Twitter,Mid-tier,26,5.74,44288
YouTube,Macro,90,4.02,516608
Instagram,Macro,240,2.21,22720
Facebook,Macro,199,2.09,38987
LinkedIn,Mid-tier,13,1.71,13543
Twitter,Macro,191,1.51,46564
LinkedIn,Macro,85,0.51,13627
