Platform,Influencer_Tier,n_posts,avg_er,median_views,cvr_scaled,est_gmv_per_post,est_cost_per_post,est_gmv_per_1k_usd,roi_pure_commission,comm_per_post,weight,budget_alloc
TikTok,Micro,19,81.75,215087,0.07627197711063195,984306.6444476696,1720.696,572039.8283297396,5.0,196861.32888953394,10868756.738265052,21012.723300347003
TikTok,Mid-tier,10,57.54,260042,0.05368427599933654,837609.9899651683,2080.336,402632.06999502407,5.0,167521.99799303367,4026320.6999502406,7784.143561577122
Instagram,Micro,25,24.42,24990,0.022783629125891526,34161.77351136175,199.92,170877.21844418644,5.0,6832.354702272351,4271930.461104661,8258.984435771348
Facebook,Micro,19,19.12,36654,0.017838779233703767,39231.75684193068,293.232,133790.84425277825,5.0,7846.351368386136,2542026.0408027866,4914.535406760057
Twitter,Micro,26,15.0,52569,0.013994858185437055,44141.74199701443,420.552,104961.4363907779,5.0,8828.348399402887,2728997.3461602256,5276.009713269164
TikTok,Macro,155,10.72,254750,0.010001658649859016,152875.35246309504,2038.0,75012.43987394261,5.0,30575.07049261901,11626928.180461105,22478.50702453345
Facebook,Mid-tier,24,7.73,46572,0.0072120169182285625,20152.683114944437,372.576,54090.12688671421,5.0,4030.5366229888878,1298163.045281141,2509.7572359120395
Instagram,Mid-tier,34,7.09,25932,0.006614902968983248,10292.259827500415,207.456,49611.77226737436,5.0,2058.451965500083,1686800.2570907283,3261.1151320017048
Twitter,Mid-tier,26,5.74,44288,0.005355365732293914,14230.706253109971,354.304,40165.24299220435,5.0,2846.1412506219945,1044296.3177973132,2018.9530502776677
YouTube,Macro,90,4.02,516608,0.0037506219936971306,116256.07961519323,4132.864,28129.664952728483,5.0,23251.215923038646,2531669.8457455635,4894.513626309703
Instagram,Macro,240,2.21,22720,0.002061909105987726,2810.7944932824685,181.76,15464.318294907947,5.0,562.1588986564938,3711436.3907779073,7175.373210046065
Facebook,Macro,199,2.09,38987,0.0019499502405042296,4561.362601592305,311.896,14624.626803781723,5.0,912.2725203184609,2910300.733952563,5626.526153450714
LinkedIn,Mid-tier,13,1.71,13543,0.0015954138331398242,1296.4013725327584,108.344,11965.603748548683,5.0,259.2802745065517,155552.8487311329,300.7325536563425
Twitter,Macro,191,1.51,46564,0.0014088157240006636,3936.0057223420135,372.512,10566.117930004977,5.0,787.2011444684027,2018128.5246309505,3901.676824112718
LinkedIn,Macro,85,0.51,13627,0.00047582517830485984,389.04418228561946,109.016,3568.6888372864482,5.0,77.8088364571239,303338.5511693481,586.4487719749186
